date,time,symbol,expiry,strike,put_call,side,spot,size,price,premium,sweep_block_split,volume,open_int,conds
02/09/2024,02:33:59 PM,SPY,05/17/2024,430,put,bid,501.16,199,$1.41,$28.1K,sweep,5373,10353,
02/09/2024,02:33:57 PM,SPY,02/16/2024,501,call,ask,501.15,500,$3.25,$162.5K,sweep,20848,37848,
02/09/2024,02:33:56 PM,SPY,02/14/2024,500,put,ask,501.15,201,$1.72,$34.6K,sweep,7962,453,
02/09/2024,02:33:48 PM,SPY,05/17/2024,435,put,bid,501.15,164,$1.58,$25.9K,sweep,196,8527,
02/09/2024,02:33:48 PM,SPY,05/17/2024,430,put,bid,501.15,2301,$1.42,$326.7K,sweep,5174,10353,
02/09/2024,02:33:32 PM,SPY,02/16/2024,500,call,bid,501.13,200,$3.80,$76K,sweep,84055,31444,
02/09/2024,02:33:32 PM,SPY,02/14/2024,502,put,ask,501.13,200,$2.67,$53.4K,sweep,1385,22,opening
02/09/2024,02:33:14 PM,SPY,03/15/2024,450,put,ask,501.13,5000,$0.45,$225K,sweep,7173,107607,
02/09/2024,02:32:56 PM,SPY,02/09/2024,501,call,below,501.13,655,$0.44,$29.1K,sweep,284412,19179,
02/09/2024,02:32:56 PM,SPY,02/16/2024,504,put,ask,501.13,212,$4.23,$89.7K,sweep,482,96,opening
02/09/2024,02:32:56 PM,SPY,02/16/2024,502,put,ask,501.13,170,$3.06,$52K,sweep,1736,385,
02/09/2024,02:32:56 PM,SPY,02/09/2024,500,call,bid,501.13,406,$1.19,$48.3K,sweep,512771,45384,
02/09/2024,02:32:08 PM,SPY,02/13/2024,498,put,ask,501.11,1200,$0.84,$100.8K,block,12704,3478,
02/09/2024,02:31:51 PM,SPY,02/14/2024,500,put,bid,501.10,200,$1.74,$34.8K,sweep,7737,453,
02/09/2024,02:31:42 PM,SPY,03/01/2024,495,put,bid,501.09,200,$2.23,$44.6K,sweep,5667,5203,
02/09/2024,02:31:41 PM,SPY,03/08/2024,504,put,ask,501.10,161,$6.42,$103.4K,sweep,886,0,opening
02/09/2024,02:31:31 PM,SPY,03/15/2024,503,call,bid,501.13,200,$6.89,$137.8K,sweep,1085,645,
02/09/2024,02:31:13 PM,SPY,02/12/2024,501,call,mid,501.14,318,$1.33,$42.3K,sweep,87828,3705,
02/09/2024,02:31:06 PM,SPY,02/16/2024,501,put,mid,501.17,155,$2.54,$39.5K,sweep,11475,618,
02/09/2024,02:31:03 PM,SPY,02/14/2024,500,put,ask,501.14,200,$1.73,$34.6K,block,7530,453,
02/09/2024,02:30:56 PM,SPY,02/16/2024,498,put,bid,501.15,204,$1.45,$29.6K,split,14876,5474,
02/09/2024,02:30:47 PM,SPY,02/09/2024,501,put,below,501.13,1383,$0.35,$48.7K,sweep,102355,1621,
02/09/2024,02:30:24 PM,SPY,02/16/2024,501,call,mid,501.11,950,$3.22,$305.9K,block,20132,37848,
02/09/2024,02:30:10 PM,SPY,02/14/2024,502,put,ask,501.10,200,$2.69,$53.8K,block,1149,22,opening
02/09/2024,02:30:08 PM,SPY,02/09/2024,500,call,ask,501.13,708,$1.19,$85K,sweep,511316,45384,
02/09/2024,02:30:08 PM,SPY,02/09/2024,502,put,bid,501.12,420,$1.02,$42.8K,sweep,14072,964,
02/09/2024,02:30:02 PM,SPY,03/22/2024,475,put,bid,501.11,400,$1.56,$62.4K,block,548,1598,
02/09/2024,02:30:01 PM,SPY,02/16/2024,505,call,ask,501.10,187,$1.47,$27.5K,sweep,16027,17050,
02/09/2024,02:29:13 PM,SPY,02/12/2024,500,call,ask,501.07,185,$1.91,$35.3K,sweep,157621,9704,
02/09/2024,02:27:57 PM,SPY,02/14/2024,500,call,ask,501.07,225,$3.04,$68.4K,sweep,14158,4999,
02/09/2024,02:27:50 PM,SPY,02/09/2024,502,put,bid,501.07,540,$1.06,$57.2K,sweep,13414,964,
02/09/2024,02:27:29 PM,SPY,05/17/2024,507,call,bid,501.05,600,$12.27,$736.2K,block,2172,99,opening
02/09/2024,02:27:29 PM,SPY,02/16/2024,501,call,bid,501.08,1000,$3.20,$320K,sweep,19060,37848,
02/09/2024,02:27:08 PM,SPY,02/20/2024,502,call,ask,501.09,152,$3.05,$46.4K,sweep,1325,750,
02/09/2024,02:27:06 PM,SPY,02/16/2024,505,call,ask,501.10,228,$1.47,$33.5K,sweep,15389,17050,
02/09/2024,02:26:46 PM,SPY,02/16/2024,505,call,ask,501.10,402,$1.47,$59.1K,sweep,15061,17050,
02/09/2024,02:26:43 PM,SPY,03/15/2024,486,put,ask,501.12,308,$2.12,$65.3K,sweep,8081,32474,
02/09/2024,02:26:43 PM,SPY,03/15/2024,490,put,ask,501.12,259,$2.76,$71.5K,sweep,6437,32039,
02/09/2024,02:26:43 PM,SPY,03/15/2024,489,put,ask,501.12,384,$2.58,$99.1K,sweep,3414,5378,
02/09/2024,02:26:43 PM,SPY,03/15/2024,481,put,ask,501.12,231,$1.57,$36.3K,sweep,2064,5791,
02/09/2024,02:26:43 PM,SPY,03/15/2024,485,put,ask,501.12,5000,$2.00,$1M,sweep,19117,53027,
02/09/2024,02:26:13 PM,SPY,02/09/2024,500,call,above,501.10,402,$1.19,$48.2K,sweep,508840,45384,
02/09/2024,02:26:12 PM,SPY,05/17/2024,450,put,ask,501.10,425,$2.21,$93.9K,sweep,1217,7650,
02/09/2024,02:26:07 PM,SPY,02/09/2024,500,call,above,501.11,447,$1.19,$53.5K,sweep,508403,45384,
02/09/2024,02:26:05 PM,SPY,02/16/2024,500,put,mid,501.11,301,$2.15,$64.7K,block,25625,7764,
02/09/2024,02:26:04 PM,SPY,03/21/2025,575,call,ask,501.09,250,$8.75,$218.8K,block,514,10173,
02/09/2024,02:24:41 PM,SPY,02/16/2024,501,call,ask,500.95,500,$3.14,$157K,sweep,18020,37848,
02/09/2024,02:23:56 PM,SPY,02/09/2024,501,put,above,500.94,752,$0.45,$34.5K,sweep,94472,1621,
02/09/2024,02:23:05 PM,SPY,02/09/2024,501,put,mid,501.04,1112,$0.40,$44.6K,sweep,92424,1621,
02/09/2024,02:23:04 PM,SPY,04/19/2024,475,put,ask,501.04,500,$2.90,$145K,split,6304,18393,
02/09/2024,02:23:00 PM,SPY,02/12/2024,500,call,above,501.04,653,$1.89,$123.9K,sweep,156816,9704,
02/09/2024,02:23:00 PM,SPY,02/12/2024,501,call,mid,501.04,260,$1.28,$33.4K,sweep,83215,3705,
02/09/2024,02:23:00 PM,SPY,02/16/2024,500,put,bid,501.04,205,$2.18,$44.7K,sweep,25252,7764,
02/09/2024,02:22:59 PM,SPY,02/09/2024,500,call,above,501.04,275,$1.14,$31.6K,sweep,506583,45384,
02/09/2024,02:22:39 PM,SPY,02/14/2024,502,call,mid,501.04,405,$1.95,$79K,sweep,9822,5319,
02/09/2024,02:21:41 PM,SPY,03/15/2024,493,put,bid,500.94,275,$3.44,$94.6K,sweep,2630,5012,
02/09/2024,02:21:16 PM,SPY,02/12/2024,500,put,bid,501.00,900,$0.79,$71.1K,block,62252,1413,
02/09/2024,02:21:04 PM,SPY,03/15/2024,508,call,bid,501.01,175,$4.45,$77.9K,sweep,1219,7304,
02/09/2024,02:21:03 PM,SPY,02/09/2024,500,call,above,501.01,254,$1.10,$27.9K,sweep,505244,45384,
02/09/2024,02:21:03 PM,SPY,02/09/2024,498,call,ask,500.98,177,$3.00,$53.1K,sweep,53585,17117,
02/09/2024,02:20:33 PM,SPY,02/13/2024,498,put,bid,500.96,300,$0.88,$26.4K,sweep,11191,3478,
02/09/2024,02:20:05 PM,SPY,02/21/2024,497,put,ask,500.95,850,$1.72,$146.2K,sweep,1635,849,opening
02/09/2024,02:19:15 PM,SPY,02/09/2024,500,call,above,500.96,340,$1.08,$37K,sweep,504154,45384,
02/09/2024,02:19:14 PM,SPY,02/16/2024,501,call,ask,500.95,500,$3.14,$157K,sweep,17369,37848,
02/09/2024,02:19:02 PM,SPY,02/12/2024,502,call,mid,500.94,999,$0.78,$78.2K,sweep,38007,3056,
02/09/2024,02:18:38 PM,SPY,02/14/2024,502,call,ask,500.88,200,$1.89,$37.8K,block,9400,5319,
02/09/2024,02:18:16 PM,SPY,02/09/2024,501,put,mid,500.84,1139,$0.50,$58K,sweep,87777,1621,
02/09/2024,02:17:23 PM,SPY,02/09/2024,502,put,above,500.94,357,$1.20,$42.9K,sweep,11175,964,
